Date,AZDATA.InIcuCum,AZDATA.InIcuCurr
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,286
2020-4-14,0,286
2020-4-15,0,286
2020-4-16,0,278
2020-4-17,0,285
2020-4-18,0,285
2020-4-19,0,283
2020-4-20,0,285
2020-4-21,0,285
2020-4-22,0,300
2020-4-23,0,305
2020-4-24,0,332
2020-4-25,0,313
2020-4-26,0,308
2020-4-27,0,328
2020-4-28,0,303
2020-4-29,0,312
2020-4-30,0,311
2020-5-1,0,311
2020-5-2,0,291
2020-5-3,0,282
2020-5-4,0,288
2020-5-5,0,303
2020-5-6,0,286
2020-5-7,0,288
2020-5-8,0,295
2020-5-9,0,296
2020-5-10,0,300
2020-5-11,0,297
2020-5-12,0,318
2020-5-13,0,292
2020-5-14,0,323
2020-5-15,0,313
2020-5-16,0,344
2020-5-17,0,337
2020-5-18,0,329
2020-5-19,0,318
2020-5-20,0,298
2020-5-21,0,299
2020-5-22,0,311
2020-5-23,0,309
2020-5-24,0,322
2020-5-25,0,334
2020-5-26,0,336
2020-5-27,0,375
2020-5-28,0,374
2020-5-29,0,378
2020-5-30,0,386
2020-5-31,0,376
