Date,VADATA.InIcuCum,VADATA.InIcuCurr
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,469
2020-4-10,0,457
2020-4-11,0,426
2020-4-12,0,440
2020-4-13,0,428
2020-4-14,0,422
2020-4-15,0,394
2020-4-16,0,427
2020-4-17,0,400
2020-4-18,0,398
2020-4-19,0,388
2020-4-20,0,396
2020-4-21,0,403
2020-4-22,0,419
2020-4-23,0,400
2020-4-24,0,379
2020-4-25,0,357
2020-4-26,0,387
2020-4-27,0,389
2020-4-28,0,376
2020-4-29,0,387
2020-4-30,0,372
2020-5-1,0,366
2020-5-2,0,375
2020-5-3,0,385
2020-5-4,0,348
2020-5-5,0,361
2020-5-6,0,361
2020-5-7,0,371
2020-5-8,0,378
2020-5-9,0,367
2020-5-10,0,351
2020-5-11,0,362
2020-5-12,0,364
2020-5-13,0,374
2020-5-14,0,355
2020-5-15,0,362
2020-5-16,0,381
2020-5-17,0,379
2020-5-18,0,361
2020-5-19,0,377
2020-5-20,0,370
2020-5-21,0,351
2020-5-22,0,366
2020-5-23,0,330
2020-5-24,0,354
2020-5-25,0,349
2020-5-26,0,366
2020-5-27,0,390
2020-5-28,0,416
2020-5-29,0,373
2020-5-30,0,372
2020-5-31,0,371
2020-6-1,0,347
2020-6-2,0,336
2020-6-3,0,313
2020-6-4,0,321
2020-6-5,0,320
2020-6-6,0,324
2020-6-7,0,316
2020-6-8,0,308
2020-6-9,0,311
2020-6-10,0,296
2020-6-11,0,273
2020-6-12,0,297
2020-6-13,0,295
2020-6-14,0,334
2020-6-15,0,269
2020-6-16,0,241
2020-6-17,0,249
2020-6-18,0,241
2020-6-19,0,251
2020-6-20,0,267
2020-6-21,0,243
2020-6-22,0,240
2020-6-23,0,245
2020-6-24,0,235
2020-6-25,0,237
2020-6-26,0,219
2020-6-27,0,234
2020-6-28,0,235
2020-6-29,0,225
2020-6-30,0,230
2020-7-1,0,205
2020-7-2,0,206
2020-7-3,0,207
2020-7-4,0,207
2020-7-5,0,202
2020-7-6,0,194
2020-7-7,0,221
2020-7-8,0,230
2020-7-9,0,215
2020-7-10,0,234
2020-7-11,0,230
2020-7-12,0,228
2020-7-13,0,243
2020-7-14,0,249
2020-7-15,0,246
2020-7-16,0,248
2020-7-17,0,247
2020-7-18,0,254
2020-7-19,0,249
2020-7-20,0,265
2020-7-21,0,258
2020-7-22,0,253
2020-7-23,0,257
2020-7-24,0,274
2020-7-25,0,266
2020-7-26,0,268
2020-7-27,0,260
2020-7-28,0,261
2020-7-29,0,276
2020-7-30,0,284
2020-7-31,0,279
2020-8-1,0,275
2020-8-2,0,267
2020-8-3,0,271
2020-8-4,0,282
2020-8-5,0,283
2020-8-6,0,284
2020-8-7,0,284
2020-8-8,0,271
2020-8-9,0,260
2020-8-10,0,279
2020-8-11,0,280
2020-8-12,0,290
2020-8-13,0,289
2020-8-14,0,268
2020-8-15,0,279
2020-8-16,0,283
2020-8-17,0,281
2020-8-18,0,300
2020-8-19,0,280
2020-8-20,0,276
2020-8-21,0,263
2020-8-22,0,254
2020-8-23,0,251
2020-8-24,0,256
2020-8-25,0,273
2020-8-26,0,265
2020-8-27,0,264
2020-8-28,0,261
2020-8-29,0,245
2020-8-30,0,251
2020-8-31,0,257
2020-9-1,0,258
2020-9-2,0,266
2020-9-3,0,257
2020-9-4,0,244
2020-9-5,0,243
2020-9-6,0,232
2020-9-7,0,249
2020-9-8,0,240
2020-9-9,0,252
2020-9-10,0,255
2020-9-11,0,249
2020-9-12,0,228
2020-9-13,0,232
2020-9-14,0,220
2020-9-15,0,228
2020-9-16,0,212
2020-9-17,0,225
2020-9-18,0,212
2020-9-19,0,219
2020-9-20,0,263
2020-9-21,0,217
2020-9-22,0,213
2020-9-23,0,215
2020-9-24,0,219
2020-9-25,0,221
2020-9-26,0,202
2020-9-27,0,198
2020-9-28,0,193
2020-9-29,0,202
2020-9-30,0,190
2020-10-1,0,210
2020-10-2,0,201
2020-10-3,0,191
2020-10-4,0,197
2020-10-5,0,213
2020-10-6,0,219
2020-10-7,0,228
2020-10-8,0,196
2020-10-9,0,205
2020-10-10,0,208
2020-10-11,0,201
2020-10-12,0,205
2020-10-13,0,200
2020-10-14,0,230
2020-10-15,0,220
2020-10-16,0,222
2020-10-17,0,219
2020-10-18,0,205
2020-10-19,0,210
2020-10-20,0,194
2020-10-21,0,202
2020-10-22,0,218
2020-10-23,0,233
2020-10-24,0,220
2020-10-25,0,216
2020-10-26,0,230
2020-10-27,0,230
2020-10-28,0,252
2020-10-29,0,249
2020-10-30,0,231
2020-10-31,0,228
2020-11-1,0,228
2020-11-2,0,214
2020-11-3,0,222
2020-11-4,0,231
2020-11-5,0,240
2020-11-6,0,216
2020-11-7,0,215
2020-11-8,0,202
2020-11-9,0,214
2020-11-10,0,224
2020-11-11,0,250
2020-11-12,0,246
2020-11-13,0,258
2020-11-14,0,261
2020-11-15,0,252
2020-11-16,0,263
2020-11-17,0,272
2020-11-18,0,318
2020-11-19,0,303
2020-11-20,0,318
2020-11-21,0,331
2020-11-22,0,320
2020-11-23,0,351
2020-11-24,0,354
2020-11-25,0,361
2020-11-26,0,370
2020-11-27,0,373
2020-11-28,0,370
2020-11-29,0,365
2020-11-30,0,376
2020-12-1,0,398
2020-12-2,0,427
2020-12-3,0,411
2020-12-4,0,413
2020-12-5,0,407
2020-12-6,0,395
2020-12-7,0,403
2020-12-8,0,435
2020-12-9,0,436
2020-12-10,0,415
2020-12-11,0,427
2020-12-12,0,440
2020-12-13,0,426
2020-12-14,0,458
2020-12-15,0,490
2020-12-16,0,511
2020-12-17,0,490
2020-12-18,0,510
2020-12-19,0,495
2020-12-20,0,517
2020-12-21,0,530
2020-12-22,0,535
2020-12-23,0,532
2020-12-24,0,530
2020-12-25,0,518
2020-12-26,0,548
2020-12-27,0,514
2020-12-28,0,526
2020-12-29,0,539
2020-12-30,0,553
2020-12-31,0,525
2021-1-1,0,557
2021-1-2,0,557
2021-1-3,0,557
2021-1-4,0,563
2021-1-5,0,558
2021-1-6,0,537
2021-1-7,0,568
2021-1-8,0,547
2021-1-9,0,565
2021-1-10,0,553
2021-1-11,0,571
2021-1-12,0,582
2021-1-13,0,587
2021-1-14,0,583
2021-1-15,0,580
2021-1-16,0,561
2021-1-17,0,566
2021-1-18,0,584
2021-1-19,0,588
2021-1-20,0,554
2021-1-21,0,545
2021-1-22,0,509
2021-1-23,0,567
2021-1-24,0,546
2021-1-25,0,554
2021-1-26,0,539
2021-1-27,0,537
2021-1-28,0,515
2021-1-29,0,511
2021-1-30,0,507
2021-1-31,0,496
2021-2-1,0,478
2021-2-2,0,493
2021-2-3,0,500
2021-2-4,0,486
2021-2-5,0,462
2021-2-6,0,465
2021-2-7,0,456
2021-2-8,0,464
2021-2-9,0,467
2021-2-10,0,449
2021-2-11,0,451
2021-2-12,0,430
2021-2-13,0,408
2021-2-14,0,392
2021-2-15,0,398
2021-2-16,0,401
2021-2-17,0,386
2021-2-18,0,364
2021-2-19,0,329
2021-2-20,0,312
2021-2-21,0,306
2021-2-22,0,318
2021-2-23,0,315
2021-2-24,0,318
2021-2-25,0,303
2021-2-26,0,313
2021-2-27,0,303
2021-2-28,0,295
2021-3-1,0,295
2021-3-2,0,305
2021-3-3,0,284
2021-3-4,0,284
2021-3-5,0,254
2021-3-6,0,263
2021-3-7,0,258
