Date,IDDATA.InIcuCum,IDDATA.InIcuCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,6,0
2020-4-1,7,0
2020-4-2,7,0
2020-4-3,7,0
2020-4-4,8,0
2020-4-5,11,0
2020-4-6,16,0
2020-4-7,21,0
2020-4-8,24,0
2020-4-9,29,0
2020-4-10,33,0
2020-4-11,35,0
2020-4-12,38,0
2020-4-13,38,0
2020-4-14,38,0
2020-4-15,43,0
2020-4-16,46,0
2020-4-17,51,0
2020-4-18,53,0
2020-4-19,53,0
2020-4-20,53,0
2020-4-21,58,0
2020-4-22,58,0
2020-4-23,60,0
2020-4-24,63,0
2020-4-25,71,0
2020-4-26,72,0
2020-4-27,71,0
2020-4-28,73,0
2020-4-29,73,0
2020-4-30,74,0
2020-5-1,75,0
2020-5-2,76,0
2020-5-3,83,0
2020-5-4,83,0
2020-5-5,83,0
2020-5-6,84,0
2020-5-7,86,0
2020-5-8,86,0
2020-5-9,86,0
2020-5-10,87,0
2020-5-11,87,0
2020-5-12,87,0
2020-5-13,88,0
2020-5-14,88,0
2020-5-15,89,0
2020-5-16,89,0
2020-5-17,89,0
2020-5-18,89,0
2020-5-19,89,0
2020-5-20,89,0
2020-5-21,91,0
2020-5-22,92,0
2020-5-23,94,0
2020-5-24,94,0
2020-5-25,94,0
2020-5-26,94,0
2020-5-27,95,0
2020-5-28,95,0
2020-5-29,96,0
2020-5-30,96,0
2020-5-31,96,3
2020-6-1,96,3
2020-6-2,98,4
2020-6-3,98,3
2020-6-4,98,3
2020-6-5,98,8
2020-6-6,98,8
2020-6-7,99,8
2020-6-8,99,8
2020-6-9,99,7
2020-6-10,99,7
2020-6-11,99,7
2020-6-12,98,5
2020-6-13,98,5
2020-6-14,98,6
2020-6-15,98,5
2020-6-16,100,6
2020-6-17,101,8
2020-6-18,101,7
2020-6-19,101,9
2020-6-20,101,9
2020-6-21,101,12
2020-6-22,101,12
2020-6-23,102,14
2020-6-24,105,14
2020-6-25,106,14
2020-6-26,106,20
2020-6-27,108,19
2020-6-28,111,18
2020-6-29,111,17
2020-6-30,114,18
2020-7-1,116,18
2020-7-2,118,17
2020-7-3,121,23
2020-7-4,121,23
2020-7-5,122,19
2020-7-6,124,22
2020-7-7,130,25
2020-7-8,130,26
2020-7-9,133,28
2020-7-10,137,29
2020-7-11,138,33
2020-7-12,139,33
2020-7-13,142,35
2020-7-14,144,35
2020-7-15,151,35
2020-7-16,151,35
2020-7-17,165,35
2020-7-18,170,33
2020-7-19,180,33
2020-7-20,181,33
2020-7-21,186,46
2020-7-22,197,46
2020-7-23,201,46
2020-7-24,207,46
2020-7-25,210,45
2020-7-26,217,45
2020-7-27,222,45
2020-7-28,224,40
2020-7-29,232,40
2020-7-30,236,51
2020-7-31,247,51
2020-8-1,249,54
2020-8-2,250,54
2020-8-3,253,54
2020-8-4,256,22
2020-8-5,260,39
2020-8-6,262,42
2020-8-7,269,42
2020-8-8,276,48
2020-8-9,279,48
2020-8-10,280,48
2020-8-11,282,32
2020-8-12,289,32
2020-8-13,296,36
2020-8-14,302,36
2020-8-15,309,38
2020-8-16,312,38
2020-8-17,313,38
2020-8-18,316,37
2020-8-19,328,37
2020-8-20,337,43
2020-8-21,340,51
2020-8-22,344,52
2020-8-23,346,52
2020-8-24,347,52
2020-8-25,350,47
2020-8-26,359,47
2020-8-27,363,53
2020-8-28,366,53
2020-8-29,369,52
2020-8-30,374,52
2020-8-31,375,52
2020-9-1,379,46
2020-9-2,381,46
2020-9-3,388,45
2020-9-4,392,45
2020-9-5,394,50
2020-9-6,394,50
2020-9-7,394,50
2020-9-8,394,35
2020-9-9,399,35
2020-9-10,406,51
2020-9-11,407,51
2020-9-12,412,46
2020-9-13,422,46
2020-9-14,423,46
2020-9-15,424,34
2020-9-16,426,34
2020-9-17,433,54
2020-9-18,438,54
2020-9-19,441,51
2020-9-20,442,51
2020-9-21,443,51
2020-9-22,446,39
2020-9-23,447,39
2020-9-24,448,40
2020-9-25,449,40
2020-9-26,451,44
2020-9-27,451,44
2020-9-28,452,44
2020-9-29,454,44
2020-9-30,457,38
2020-10-1,457,36
2020-10-2,460,36
2020-10-3,462,49
2020-10-4,465,49
2020-10-5,466,49
2020-10-6,466,36
2020-10-7,468,36
2020-10-8,470,41
2020-10-9,474,41
2020-10-10,475,45
2020-10-11,478,45
2020-10-12,479,45
2020-10-13,481,54
2020-10-14,487,54
2020-10-15,492,56
2020-10-16,494,56
2020-10-17,495,55
2020-10-18,503,55
2020-10-19,504,55
2020-10-20,506,54
2020-10-21,509,54
2020-10-22,514,54
2020-10-23,524,54
2020-10-24,527,66
2020-10-25,530,66
2020-10-26,535,75
2020-10-27,539,75
2020-10-28,542,75
2020-10-29,546,72
2020-10-30,546,72
2020-10-31,549,74
2020-11-1,551,74
2020-11-2,552,74
2020-11-3,555,55
2020-11-4,560,55
2020-11-5,566,77
2020-11-6,568,77
2020-11-7,574,90
2020-11-8,576,90
2020-11-9,580,90
2020-11-10,585,72
2020-11-11,593,72
2020-11-12,598,94
2020-11-13,600,96
2020-11-14,602,96
2020-11-15,610,96
2020-11-16,613,96
2020-11-17,621,79
2020-11-18,632,79
2020-11-19,635,84
2020-11-20,651,84
2020-11-21,673,89
2020-11-22,681,89
2020-11-23,688,89
2020-11-24,689,91
2020-11-25,701,91
2020-11-26,715,108
2020-11-27,715,108
2020-11-28,727,92
2020-11-29,742,92
2020-11-30,749,92
2020-12-1,756,110
2020-12-2,769,110
2020-12-3,780,108
2020-12-4,791,108
2020-12-5,805,105
2020-12-6,814,105
2020-12-7,822,105
2020-12-8,829,89
2020-12-9,846,93
2020-12-10,854,93
2020-12-11,862,93
2020-12-12,871,104
2020-12-13,875,104
2020-12-14,881,101
2020-12-15,884,101
2020-12-16,895,101
2020-12-17,908,109
2020-12-18,918,118
2020-12-19,928,118
2020-12-20,932,118
2020-12-21,942,118
2020-12-22,948,87
2020-12-23,958,87
2020-12-24,965,106
2020-12-25,978,106
2020-12-26,978,106
2020-12-27,984,95
2020-12-28,993,95
2020-12-29,999,77
2020-12-30,1003,77
2020-12-31,1012,85
2021-1-1,1018,85
2021-1-2,1018,85
2021-1-3,1024,84
2021-1-4,1030,84
2021-1-5,1036,54
2021-1-6,1040,54
2021-1-7,1043,77
2021-1-8,1055,77
2021-1-9,1062,76
2021-1-10,1070,76
2021-1-11,1074,76
2021-1-12,1076,72
2021-1-13,1076,72
2021-1-14,1084,88
2021-1-15,1091,88
2021-1-16,1098,90
2021-1-17,1103,90
2021-1-18,1106,90
2021-1-19,1106,90
2021-1-20,1114,77
2021-1-21,1117,71
2021-1-22,1125,71
2021-1-23,1127,67
2021-1-24,1127,67
2021-1-25,1129,67
2021-1-26,1135,53
2021-1-27,1144,64
2021-1-28,1153,64
2021-1-29,1157,64
2021-1-30,1165,57
2021-1-31,1169,57
2021-2-1,1169,57
2021-2-2,1172,46
2021-2-3,1176,46
2021-2-4,1181,47
2021-2-5,1183,47
2021-2-6,1184,41
2021-2-7,1184,41
2021-2-8,1184,41
2021-2-9,1191,39
2021-2-10,1194,39
2021-2-11,1199,37
2021-2-12,1201,37
2021-2-13,1204,45
2021-2-14,1206,45
2021-2-15,1206,45
2021-2-16,1206,45
2021-2-17,1206,38
2021-2-18,1214,37
2021-2-19,1218,37
2021-2-20,1219,37
2021-2-21,1220,37
2021-2-22,1220,37
2021-2-23,1224,25
2021-2-24,1227,25
2021-2-25,1229,38
2021-2-26,1228,38
2021-2-27,1229,35
2021-2-28,1231,35
2021-3-1,1231,35
2021-3-2,1234,32
2021-3-3,1239,32
